Format Version,1.24,Take Name,Take 2023-11-28 11.22.44 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-11-28 11.22.44.891 午前,Capture Start Frame,925379,Total Frames in Take,1398,Total Exported Frames,1398,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,0.037517,-5.469357,0.038082,0.012358,0.286566,-0.006757,-0.013631,0.286363,0.131929,-0.087467,0.286741,0.064241,0.104167,0.288007,0.068315,0.112471,0.287163,-0.077343,0.035364,0.285232,-0.145239,-0.076755,0.285890,-0.082446,-0.013633,0.286284,0.131948,-0.087477,0.286736,0.064187,0.104260,0.288100,0.068403,0.112449,0.287127,-0.077336,0.035301,0.285197,-0.145259,-0.076719,0.285945,-0.082460
7,0.058333,0.021582,-5.464682,0.021521,0.012393,0.286660,-0.006783,-0.013585,0.286499,0.131905,-0.087426,0.286882,0.064223,0.104209,0.288093,0.068281,0.112500,0.287211,-0.077377,0.035387,0.285285,-0.145266,-0.076727,0.285991,-0.082465,-0.013560,0.286419,0.131921,-0.087463,0.286894,0.064176,0.104279,0.288198,0.068329,0.112437,0.287148,-0.077348,0.035321,0.285275,-0.145276,-0.076652,0.286030,-0.082495
8,0.066667,0.032402,-5.470095,0.040090,0.012298,0.286662,-0.006813,-0.013693,0.286471,0.131872,-0.087528,0.286840,0.064183,0.104106,0.288113,0.068260,0.112412,0.287256,-0.077398,0.035306,0.285316,-0.145295,-0.076814,0.285976,-0.082504,-0.013699,0.286356,0.131902,-0.087528,0.286864,0.064134,0.104189,0.288238,0.068323,0.112340,0.287212,-0.077386,0.035247,0.285268,-0.145308,-0.076755,0.286039,-0.082540
9,0.075000,0.031336,-5.468626,0.034809,0.012249,0.286608,-0.006840,-0.013739,0.286421,0.131846,-0.087575,0.286796,0.064159,0.104059,0.288051,0.068230,0.112361,0.287193,-0.077428,0.035253,0.285259,-0.145322,-0.076865,0.285930,-0.082528,-0.013733,0.286329,0.131851,-0.087611,0.286842,0.064099,0.104168,0.288147,0.068304,0.112302,0.287138,-0.077381,0.035180,0.285262,-0.145380,-0.076808,0.285936,-0.082531
10,0.083333,0.026806,-5.460102,0.041054,0.012310,0.286597,-0.006808,-0.013658,0.286420,0.131883,-0.087504,0.286781,0.064206,0.104131,0.288057,0.068249,0.112411,0.287186,-0.077410,0.035293,0.285238,-0.145293,-0.076816,0.285902,-0.082482,-0.013651,0.286323,0.131906,-0.087520,0.286769,0.064164,0.104205,0.288179,0.068322,0.112368,0.287160,-0.077390,0.035204,0.285150,-0.145325,-0.076743,0.286012,-0.082520
11,0.091667,0.030131,-5.465702,0.026740,0.012371,0.286623,-0.006765,-0.013609,0.286440,0.131923,-0.087449,0.286825,0.064240,0.104186,0.288054,0.068301,0.112480,0.287193,-0.077357,0.035368,0.285269,-0.145248,-0.076747,0.285956,-0.082448,-0.013593,0.286321,0.131924,-0.087484,0.286825,0.064188,0.104262,0.288198,0.068353,0.112471,0.287150,-0.077330,0.035261,0.285189,-0.145242,-0.076682,0.286062,-0.082479
12,0.100000,0.028752,-5.466596,0.034152,0.012356,0.286611,-0.006762,-0.013627,0.286430,0.131925,-0.087466,0.286803,0.064241,0.104169,0.288057,0.068305,0.112465,0.287191,-0.077353,0.035355,0.285256,-0.145245,-0.076761,0.285930,-0.082447,-0.013632,0.286306,0.131957,-0.087499,0.286813,0.064154,0.104238,0.288214,0.068332,0.112460,0.287118,-0.077329,0.035264,0.285215,-0.145266,-0.076691,0.286010,-0.082418
13,0.108333,0.031365,-5.469847,0.043510,0.012279,0.286591,-0.006804,-0.013711,0.286402,0.131882,-0.087546,0.286765,0.064194,0.104088,0.288049,0.068269,0.112392,0.287190,-0.077389,0.035287,0.285244,-0.145285,-0.076833,0.285898,-0.082493,-0.013680,0.286295,0.131923,-0.087595,0.286779,0.064135,0.104182,0.288173,0.068337,0.112353,0.287148,-0.077362,0.035213,0.285190,-0.145308,-0.076790,0.285970,-0.082541
14,0.116667,0.034041,-5.470358,0.027386,0.012273,0.286662,-0.006852,-0.013719,0.286469,0.131834,-0.087553,0.286858,0.064145,0.104081,0.288088,0.068222,0.112387,0.287237,-0.077436,0.035281,0.285318,-0.145333,-0.076839,0.285999,-0.082542,-0.013724,0.286390,0.131841,-0.087599,0.286834,0.064101,0.104179,0.288218,0.068291,0.112351,0.287176,-0.077436,0.035219,0.285271,-0.145359,-0.076778,0.286093,-0.082542
15,0.125000,0.031083,-5.468204,0.032986,0.012312,0.286671,-0.006854,-0.013675,0.286484,0.131833,-0.087512,0.286862,0.064146,0.104123,0.288111,0.068216,0.112423,0.287252,-0.077442,0.035315,0.285320,-0.145336,-0.076803,0.285995,-0.082541,-0.013674,0.286397,0.131842,-0.087539,0.286867,0.064088,0.104226,0.288215,0.068294,0.112349,0.287222,-0.077422,0.035238,0.285264,-0.145363,-0.076721,0.286066,-0.082557
16,0.133333,0.016383,-5.461023,0.031569,0.012350,0.286567,-0.006794,-0.013619,0.286417,0.131896,-0.087464,0.286779,0.064219,0.104171,0.288025,0.068264,0.112453,0.287128,-0.077394,0.035336,0.285181,-0.145278,-0.076774,0.285875,-0.082470,-0.013610,0.286314,0.131897,-0.087476,0.286781,0.064157,0.104250,0.288154,0.068337,0.112402,0.287081,-0.077393,0.035286,0.285126,-0.145271,-0.076743,0.285957,-0.082485
17,0.141667,0.019584,-5.470283,0.026978,0.012373,0.286528,-0.006737,-0.013618,0.286371,0.131949,-0.087453,0.286743,0.064259,0.104182,0.287973,0.068336,0.112487,0.287085,-0.077321,0.035381,0.285149,-0.145218,-0.076739,0.285847,-0.082427,-0.013618,0.286307,0.131969,-0.087496,0.286735,0.064206,0.104280,0.288069,0.068400,0.112434,0.287053,-0.077291,0.035294,0.285115,-0.145235,-0.076652,0.285924,-0.082464
18,0.150000,0.028664,-5.466098,0.039072,0.012350,0.286604,-0.006769,-0.013632,0.286422,0.131919,-0.087471,0.286788,0.064235,0.104163,0.288058,0.068298,0.112458,0.287192,-0.077360,0.035348,0.285249,-0.145251,-0.076768,0.285915,-0.082453,-0.013625,0.286346,0.131939,-0.087523,0.286777,0.064177,0.104237,0.288208,0.068345,0.112415,0.287161,-0.077356,0.035264,0.285208,-0.145283,-0.076697,0.286039,-0.082484
19,0.158333,0.027967,-5.469587,0.033824,0.012278,0.286767,-0.006861,-0.013712,0.286588,0.131825,-0.087547,0.286961,0.064136,0.104087,0.288213,0.068211,0.112391,0.287346,-0.077447,0.035284,0.285410,-0.145343,-0.076835,0.286086,-0.082551,-0.013694,0.286490,0.131838,-0.087593,0.286950,0.064093,0.104179,0.288326,0.068261,0.112329,0.287337,-0.077421,0.035243,0.285304,-0.145366,-0.076787,0.286203,-0.082571
20,0.166667,0.026811,-5.467874,0.023625,0.012271,0.286647,-0.006807,-0.013715,0.286473,0.131880,-0.087552,0.286858,0.064193,0.104083,0.288076,0.068262,0.112382,0.287207,-0.077396,0.035273,0.285285,-0.145289,-0.076844,0.285981,-0.082494,-0.013694,0.286397,0.131884,-0.087595,0.286856,0.064151,0.104166,0.288175,0.068339,0.112348,0.287171,-0.077380,0.035198,0.285240,-0.145312,-0.076790,0.286047,-0.082521
21,0.175000,0.019460,-5.465784,0.046416,0.012338,0.286517,-0.006762,-0.013643,0.286355,0.131926,-0.087482,0.286700,0.064242,0.104152,0.287995,0.068304,0.112446,0.287105,-0.077354,0.035336,0.285141,-0.145245,-0.076780,0.285803,-0.082445,-0.013577,0.286251,0.131966,-0.087518,0.286696,0.064141,0.104218,0.288123,0.068375,0.112399,0.287059,-0.077328,0.035258,0.285082,-0.145261,-0.076697,0.285872,-0.082464
22,0.183333,0.015674,-5.467699,0.037561,0.012374,0.286518,-0.006746,-0.013612,0.286368,0.131941,-0.087449,0.286721,0.064255,0.104185,0.287987,0.068323,0.112484,0.287088,-0.077334,0.035376,0.285132,-0.145227,-0.076742,0.285815,-0.082432,-0.013603,0.286312,0.131953,-0.087496,0.286696,0.064208,0.104289,0.288081,0.068403,0.112458,0.287052,-0.077329,0.035297,0.285083,-0.145240,-0.076695,0.285895,-0.082464
23,0.191667,0.038248,-5.466862,0.039495,0.012351,0.286711,-0.006789,-0.013633,0.286506,0.131898,-0.087471,0.286883,0.064213,0.104163,0.288153,0.068279,0.112460,0.287311,-0.077379,0.035351,0.285379,-0.145272,-0.076766,0.286034,-0.082474,-0.013625,0.286430,0.131899,-0.087514,0.286862,0.064184,0.104266,0.288257,0.068343,0.112420,0.287290,-0.077363,0.035271,0.285298,-0.145272,-0.076706,0.286138,-0.082524
24,0.200000,0.040710,-5.462065,0.038270,0.012247,0.286768,-0.006818,-0.013724,0.286557,0.131871,-0.087569,0.286938,0.064192,0.104066,0.288205,0.068242,0.112351,0.287369,-0.077417,0.035236,0.285442,-0.145303,-0.076876,0.286096,-0.082496,-0.013713,0.286494,0.131873,-0.087621,0.286905,0.064168,0.104172,0.288319,0.068331,0.112311,0.287318,-0.077399,0.035152,0.285392,-0.145341,-0.076807,0.286192,-0.082538
25,0.208333,0.031329,-5.465104,0.039766,0.012296,0.286647,-0.006814,-0.013684,0.286459,0.131874,-0.087524,0.286827,0.064191,0.104110,0.288099,0.068251,0.112403,0.287239,-0.077408,0.035291,0.285299,-0.145297,-0.076823,0.285960,-0.082497,-0.013662,0.286372,0.131916,-0.087580,0.286840,0.064132,0.104183,0.288175,0.068330,0.112354,0.287251,-0.077431,0.035230,0.285208,-0.145315,-0.076746,0.286038,-0.082513
26,0.216667,0.028693,-5.462046,0.030239,0.012383,0.286455,-0.006765,-0.013589,0.286275,0.131924,-0.087433,0.286653,0.064246,0.104202,0.287894,0.068295,0.112487,0.287029,-0.077364,0.035371,0.285098,-0.145250,-0.076740,0.285780,-0.082443,-0.013545,0.286194,0.131962,-0.087472,0.286634,0.064195,0.104286,0.287980,0.068352,0.112454,0.286972,-0.077319,0.035301,0.285051,-0.145269,-0.076689,0.285840,-0.082480
27,0.225000,0.022827,-5.469734,0.023870,0.012387,0.286521,-0.006784,-0.013604,0.286357,0.131902,-0.087439,0.286737,0.064214,0.104196,0.287957,0.068289,0.112500,0.287077,-0.077369,0.035393,0.285150,-0.145265,-0.076726,0.285850,-0.082473,-0.013570,0.286288,0.131913,-0.087464,0.286714,0.064135,0.104255,0.288078,0.068356,0.112456,0.287006,-0.077333,0.035295,0.285123,-0.145282,-0.076649,0.285928,-0.082489
28,0.233333,0.036345,-5.468059,0.042293,0.012294,0.286674,-0.006799,-0.013692,0.286473,0.131888,-0.087530,0.286843,0.064201,0.104105,0.288123,0.068271,0.112405,0.287276,-0.077387,0.035297,0.285338,-0.145281,-0.076821,0.285989,-0.082486,-0.013676,0.286394,0.131908,-0.087566,0.286825,0.064129,0.104177,0.288263,0.068328,0.112348,0.287237,-0.077354,0.035210,0.285301,-0.145294,-0.076785,0.286093,-0.082507
