0,0,0,0,0,0,12,-16
0.05,0,0,0,0.0178106,0,14,-14
0.112,0.00089053,0,0,0,0,14,-14
0.162,0.00089053,0,0,0,0,14,-14
0.212,0.00089053,0,0,0,0,14,-14
0.262,0.00089053,0,0,0,0,14,-14
0.312,0.00089053,0,0,0,0,14,-14
0.362,0.00089053,0,0,0,0,14,-14
0.412,0.00089053,0,0,0,0,14,-14
0.462,0.00089053,0,0,0,0,14,-14
0.512,0.00089053,0,0,0,0,14,-14
0.562,0.00089053,0,0,0,0,14,-14
0.612,0.00089053,0,0,0,0,14,-14
0.662,0.00089053,0,0,0,0,14,-14
0.712,0.00089053,0,0,0,0,14,-14
0.762,0.00089053,0,0,0,0,14,-14
0.831,0.00089053,0,0,0,0,14,-14
0.881,0.00089053,0,0,0,0,14,-14
0.931,0.00089053,0,0,0,0,14,-14
0.981,0.00089053,0,0,0,0,14,-14
1.031,0.00089053,0,0,0,0,14,-14
1.081,0.00089053,0,0,0,0,14,-14
1.131,0.00089053,0,0,0,0,14,-14
1.181,0.00089053,0,0,0,0,14,-14
1.231,0.00089053,0,0,0,0,14,-14
1.281,0.00089053,0,0,0,0,14,-14
1.331,0.00089053,0,0,0,0,14,-14
1.381,0.00089053,0,0,0,0,14,-14
1.431,0.00089053,0,0,0,0,14,-14
1.481,0.00089053,0,0,0,0,14,-14
1.534,0.00089053,0,0,0,0,14,-14
1.584,0.00089053,0,0,0,0,14,-14
1.634,0.00089053,0,0,0,0,14,-14
1.684,0.00089053,0,0,0,0,14,-14
1.734,0.00089053,0,-0.02842118,0.00445265,-0.56842353,22,-21
1.784,0.00111307,-0.00000633,-0.10421098,-0.02671591,-1.51579609,39,-44
1.834,-0.00021548,0.00013263,-0.19705349,-0.00445265,-1.85685021,63,-69
1.884,-0.0004338,0.00017621,-0.27663279,-0.0089053,-1.59158589,83,-91
1.934,-0.00086214,0.00029782,-0.3486331,0,-1.44000628,102,-110
