0.05,0.0,0.0,0.0
0.126,0.0,0.0,0.0
0.206,0.0,0.0,0.0
0.286,0.0,0.0,0.0
0.365,0.0,0.0,0.0
0.445,0.0,0.0,0.0
0.541,0.0,0.0,0.0
0.621,0.0,0.0,0.0
0.701,0.0,0.0,0.0
0.78,0.0,0.0,0.0
0.86,0.0,0.0,0.0
0.94,0.0,0.0,0.0
1.02,0.0,0.0,0.0
1.1,0.0,0.0,0.0
1.18,0.0,0.0,0.0
1.291,0.0,0.0,0.0
1.371,0.0,0.0,0.0
1.452,0.0,0.0,0.0
1.531,0.0,0.0,0.0
1.611,0.0,0.0,0.0
1.691,0.0,0.0,0.0
1.771,0.0,0.0,0.0
1.851,0.0,0.0,0.0
1.947,0.0,0.0,0.0
2.043,0.0,0.0,0.0
2.122,0.0,0.0,0.0
2.202,0.0,0.0,0.0
2.282,0.0,0.0,0.0
2.362,0.0,0.0,0.0
2.442,0.0,0.0,0.0
2.522,0.0,0.0,0.0
2.618,0.0,0.0,0.0
2.73,-0.0005168807937891984,-4.291356359442666e-05,-0.2529104777197482
2.81,-0.000674720225770642,-6.010795443789352e-05,-1.7239203991512784
2.889,-0.000674720225770642,-6.010795443789352e-05,-3.6505562883525347
2.969,-0.0008962385934658812,-0.0001000818552486793,-5.736038708609639
3.049,-0.0011134281528608625,-0.00014739152323484106,-7.795452598613524
3.129,-0.0015443341245688913,-0.00025674453474344716,-9.746476283880625
3.209,-0.0017579176075859237,-0.0003183205461237959,-11.589109764410688
3.289,-0.0021806442062430875,-0.0004559441646168061,-13.540133449677535
3.384,-0.002921227698045925,-0.0007363229227520529,-16.243114180307888
3.464,-0.0034387699886195833,-0.0009542561224576973,-18.34246130363592
3.544,-0.004043654467283275,-0.0012349701264257051,-20.401875193640056
3.625,-0.004645353074625547,-0.0015412885754532146,-22.487031757269236
3.704,-0.005024230741421221,-0.0017521210699212864,-24.60130982497952
3.784,-0.005408943696130208,-0.001985935403034045,-26.7965544778817
3.863,-0.005959185338404893,-0.0023476978418932593,-28.830225694260793
3.944,-0.006330062473146825,-0.002612691895598651,-31.052910905324516
4.023,-0.006845667701051994,-0.0030091110676605526,-33.06147506964928
4.135,-0.007789026781193087,-0.003845192124164676,-37.056820337931896
4.215,-0.007904224465908882,-0.003954455232306531,-38.99235970823625
4.295,-0.008214974689877863,-0.004272373989040457,-41.160163802977415
4.375,-0.008214974689877863,-0.004272373989040457,-43.32796789771858
4.454,-0.008497387647921073,-0.004608485412103014,-45.46867444127498
4.534,-0.008773580298377937,-0.004964000277787317,-47.66391909417744
4.614,-0.009032845636866682,-0.005325136708847267,-49.83172318891885
4.694,-0.009155905710555245,-0.005510246750872305,-51.89113707892249
4.79,-0.00942661884320728,-0.005969934877675498,-55.01277497534995
4.886,-0.009737466314717835,-0.0065599004987165754,-57.72253009377604
4.966,-0.009737466314717835,-0.0065599004987169085,-59.709683847288936
5.046,-0.00982617591412982,-0.00676371442455781,-61.98587814676714
5.126,-0.00982617591412982,-0.006763714424558254,-64.15368224150805
5.206,-0.009972271369150576,-0.0071835884004154416,-66.32148633624897
5.285,-0.010037003697407343,-0.007393330426662348,-68.35515755262828
5.365,-0.010153191599233224,-0.007828271309264556,-70.55040220553025
5.446,-0.010153191599233224,-0.007828271309265111,-72.74530385145592
5.541,-0.010197734537896963,-0.008085139565662147,-75.66916307800462
5.621,-0.010222347853163782,-0.008270699548318383,-77.95106212510046
5.701,-0.010222347853163782,-0.008270699548318938,-80.11886621984137
5.781,-0.010222347853163782,-0.008270699548318383,-82.28667031458279
5.861,-0.010226009993893115,-0.008492951878160793,-84.56286461406074
5.94,-0.010221835642530763,-0.008712416150165048,-86.5965358304396
6.02,-0.010221835642530763,-0.008712416150165603,-88.79178048334225
6.1,-0.010200294832495516,-0.008933652455725749,-91.06797478281999
6.196,-0.010200294832495516,-0.008933652455725749,-94.18961267924715
6.307,-0.01009173910797223,-0.009436087253881453,-97.69874555760948
6.387,-0.01017046191850035,-0.009125501522273871,-99.72984128601549
6.467,-0.01017046191850035,-0.009125501522274315,-101.89764538075643
6.547,-0.01009931663263508,-0.00933609083276754,-104.17383968023464
6.628,-0.01009931663263508,-0.00933609083276754,-106.36874132616006
6.707,-0.01009931663263508,-0.00933609083276754,-108.48301939387058
6.788,-0.010001881674998714,-0.00954212324144088,-110.81683886548723
6.883,-0.010126230114005708,-0.009312988258851407,-113.99494672043166
6.978,-0.010011088953220337,-0.009503125110850275,-116.70470183885826
7.058,-0.010114348211342161,-0.009346997444935612,-118.9866008859541
7.138,-0.010114348211342161,-0.009346997444935612,-121.15440498069478
7.218,-0.01025096570768369,-0.009171654440830457,-123.43059928017324
7.298,-0.010108135358985137,-0.009341974729950242,-125.49001317017714
7.378,-0.010257617561046928,-0.009177461567371537,-127.76620746965531
7.458,-0.010257617561046928,-0.009177461567371537,-129.93401156439649
7.538,-0.010095837524275453,-0.009329897550976352,-132.21020586387445
7.633,-0.010297809358293719,-0.009159949009510004,-135.42804006700538
7.73,-0.009936251569918397,-0.009434399734837173,-138.30551476539353
7.81,-0.010385965250495843,-0.009117804322610001,-140.36157638102424
7.889,-0.010385965250495843,-0.009117804322610223,-142.50228292458095
7.969,-0.010385965250495843,-0.009117804322610223,-144.69752757748336
8.049,-0.010385965250495843,-0.009117804322610223,-146.8653316722245
8.129,-0.010385965250495843,-0.009117804322610223,-149.0331357669657
8.209,-0.010588717509891765,-0.009026694330268037,-151.3093300664434
8.289,-0.010382506643049183,-0.009109679797616566,-153.58552436592186
